Голенкин Люк 2 3 5
Чикляев Насри 4 1 1
Тульчев Абдулкадир 5 2 5
Цирлина Барнес 4 1 5
Абромовский Асуанна 3 4 1
Нараткин Киприанна 3 1 1
Лобаков Петряй 3 5 3
Бермусов Ушер 2 2 3
Монаруева Абам 1 3 3
Панчушев Фрейда 2 2 2
Дралло Аллюр 2 3 1
Авдотченкова Равул 1 4 1
Прищепенков Хаджара 3 2 3
Ортина Алсушка 3 4 5
Вергельская Егоша 1 4 1
Азлецкий Ульян 3 3 4
Алиханова Парагелия 5 5 2
Сорочин Ашек 3 3 1
Першихова Осмунд 4 5 1
Макланов Ележбета 3 3 4
Бложкин Анчель 4 3 5
Волоха Эротей 3 2 3
Каравичева Хамиц 5 2 1
Шацман Лауанда 1 5 4
Стржельбицкий Кахин 3 1 2
Небольсин Русава 3 2 4
Мурзагулова Арий 2 3 5
Курлянчина Филдинг 4 3 2
Патронов Альмида 1 4 1
Горников Молсунсян 1 3 4
Финковский Херве 5 1 5
Нармонтене Этильда 5 5 1
Дедченко Кантемир 1 3 2
Зелицов Зулбахар 4 4 2
Буз Ангис 4 5 1
Ишалева Теодорос 4 5 2
Маныгина Алфонсас 4 1 4
Калонин Эвия 3 1 5
Белле Кэлли 4 5 1
Муравицкий Авиталь 3 3 3
Евграшхина Вилория 2 5 5
Кухарук Киша 2 1 4
Гронченко Ладомир 5 3 1
Кондулова Агаюсуф 1 3 4
Санданова Карамыш 2 4 5
Шапенкова Довлетбий 4 1 3
Пятернев Мунасип 2 2 4
Девлишев Фархе 4 2 3
Лихарев Телесфор 1 3 1
Курносепкин Бэлден 5 1 1
Кизенков Парфентий 1 3 1
Гулдашвили Вилюра 4 2 5
Магометханова Рэн 2 2 4
Хмелинин Аргелия 2 4 3
Горберр Адра 2 4 4
Хафизуллина Джерин 1 1 2
Литонов Фадиля 1 1 4
Киренкина ЕльдинЕльфадил 3 1 1
Гурюкин Анхен 4 3 3
Авдуселлимова Илхомидин 3 2 3
Гумовский Кенсорин 4 1 2
Никишечкин Жиляк 1 5 5
Новосельнов Буй 4 4 3
Шурцов Палад 1 2 5
Жожайлова Сайана 5 5 4
Семак Лионита 2 3 4
Холодилкина Клинт 5 1 2
Пленокосов Магомедзакир 4 4 1
Ахапов Роснелля 2 4 2
Трескина Зивар 5 5 4
Сбруйкина Мерилин 2 5 1
Жмарина Айчурэк 1 4 4
Чучукова Султангарей 1 2 4
Былкова Авив 4 2 3
Маловицкая Мартунн 5 5 5
Горгониева Акбиляк 5 4 2
Чурллева Кузя 3 3 1
Марученкова Арурутюн 5 3 2
Бамилов Сбывой 2 5 2
Пытов Денасий 2 4 2
Чухалов Барет 3 5 4
Скмкина Джэйло 4 5 2
Лютатовская Вэймон 5 4 2
Конделюк Садриддин 5 2 1
Наклеенков Вселюб 1 1 4
Мчедладзе Апполинара 5 5 4
Корытченков Атмаджа 2 3 1
Хамедьянов Мурадим 1 2 3
Мишутов Данида 3 3 2
Кирилинова Спенсор 4 5 5
Ореликова Айярпи 2 4 4
Веденникова Соясай 3 1 3
Рыбчак Алимгирей 4 1 1
Госцило Вальсида 3 1 1
Иванчилова Евдокия 1 3 1
Наквасина Кирилина 5 5 3
Мамитова Гамиза 3 2 1
Клевитов Агик 3 1 1
Ольнева Эссекс 2 3 3
Аглиш Сигалит 2 1 3
