LastName;FirstName;University;Faculty;Course;Group;Age;City
Акртчана;Агав;Российский государственный гуманитарный университет;Школа бизнеса и международных компетенций;3;932;22;Москва
Бурнышев;Христомил;Уральский государственный университет путей сообщения;Геологический факультет;5;855;20;Екатеринбург
Баркарь;Эллайна;Алтайский государственный технический университет имени И.И. Ползунова;Факультет Международных отношений;6;264;25;Барнаул
Батишев;Гульзара;Российский государственный педагогический университет имени А. И. Герцена;Высшая школа инновационного бизнеса (факультет);3;131;19;Санкт-Петербург
Агуревска;Алерия;Самарский государственный технический университет;Европейский учебный институт;2;422;23;Самара
Велкулова;Джаффар;Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Высшая школа перевода (факультет);6;663;22;Красноярск
Бельдова;Абдулнасир;Российский химико-технологический университет им. Д. И. Менделеева;Факультет Международного бизнеса и делового администрирования;6;864;26;Москва
Гнездицкий;Воронец;Тюменский государственный университет;Факультет иностранных языков и регионоведения;3;434;25;Тюмень
Вельман;Назгилят;Московский государственный юридический университет им. О. Е. Кутафина (МГЮА);Международно-правовой факультет;4;346;18;Москва
Глинков;Тевон;Самарский государственный технический университет;Высшая школа управления и инноваций (факультет);6;161;21;Самара
Драгулин;Партов;Нижегородский государственный технический университет имени Р.Е. Алексеева;Факультет фундаментальной физико?химической инженерии;3;333;19;Нижний Новгород
Барздин;Гайдо;Национальный исследовательский Московский государственный строительный университет;Факультет прикладной экономики и коммерции;3;634;26;Москва
Бахтимиров;Гухарбуви;Московский авиационный институт (национальный исследовательский университет);Геологический факультет;6;464;20;Москва
Замошинский;Йония;Воронежский государственный архитектурно-строительный университет;Факультет биоинженерии и биоинформатики;1;815;20;Воронеж
Арясина;Эмина;Российский государственный университет им. Косыгина;Международный институт энергетической политики и дипломатии;6;963;21;Москва
Вербик;Таная;Казанский национальный исследовательский технический университет имени А.Н. Туполева-КАИ;Филологический факультет;4;945;24;Казань
Зиллер;Варпет;Казанский (Приволжский) федеральный университет;Высшая школа инновационного бизнеса (факультет);5;954;23;Казань
Бренева;Музаффар;Национальный исследовательский ядерный университет ?МИФИ?;Факультет фундаментальной медицины;2;921;19;Москва
